time,ансамбль 60/120/250,один N=60,один N=120,один N=250,всегда лонг (вол-норм.),B&H равные доли
2025-04-16,1.4942630577700828,2.029717884136258,1.9179005434821919,0.98019432234806,1.2959028977771467,1.1423145874793523
2025-04-17,1.4998424831072235,2.037868029855391,1.9255909121208263,0.9832971575002684,1.29040828138672,1.1385234361595982
2025-04-18,1.5019543630966854,2.0407512922794,1.9283943094237965,0.9846649738894607,1.2903873778192132,1.1396382908866554
2025-04-21,1.5031987606730228,2.0452179179664802,1.9365263320575352,0.9828195164081988,1.300253622009697,1.1536101471408544
2025-04-22,1.5024410761755769,2.046396394763534,1.9394933916162456,0.9802130576334437,1.3045372715667491,1.1631982298381431
2025-04-23,1.4931174971420673,2.032640941583358,1.9260591179470805,0.975151375768547,1.3022300439141175,1.1582492953889787
2025-04-24,1.4955012112198731,2.0359883480812395,1.9309005355901383,0.9769021131343175,1.3026522367171738,1.1598124872382787
2025-04-25,1.4918598129750427,2.0320361532089755,1.9367219597082206,0.9710497856824637,1.3076633742891803,1.1714276078321508
2025-04-28,1.5002556569141547,2.0462614196312963,1.9523853563378017,0.9728037163212008,1.3081306964774402,1.1755678990427862
2025-04-29,1.5008246529347107,2.0444549100211686,1.9451435837608697,0.9783594735936338,1.2997625141573381,1.1595139257323106
2025-04-30,1.5050968691977922,2.049518184049866,1.9499683030366006,0.9834842811972684,1.2923384023371802,1.1477398422143925
2025-05-02,1.4952890108098542,2.029044758264618,1.9374735436093862,0.9839550201472025,1.2875022469849915,1.1334760026900466
2025-05-05,1.509582148319687,2.056101188992724,1.9568938437613619,0.9985460309009987,1.2734217558999166,1.1079267962736936
2025-05-06,1.5058435000795813,2.047654016718239,1.9581248585872912,0.9916308876692485,1.28733757640441,1.1331842832839871
2025-05-07,1.5061748971785416,2.0483340178380574,1.958002059800835,0.9915945838410687,1.286973245239982,1.1327981303256613
2025-05-08,1.5021613344066906,2.0423025189473303,1.9504273021863063,0.9888295958047604,1.2874473318415351,1.1353262185907
