symbol,start,end,payments,hours,ann_entry,gross,net,year,days
XLMUSDT,2021-01-29 16:00:00.000,2021-02-15 08:00:00.006,50,400.00000166666666,349.691535,0.08313285000000001,0.07813285,2021,16.66666673611111
XLMUSDT,2021-02-18 08:00:00.000,2021-02-22 16:00:00.000,13,104.0,235.12835297014706,0.023514820000000002,0.01851482,2021,4.333333333333333
XLMUSDT,2021-03-09 08:00:00.000,2021-03-25 00:00:00.000,47,376.0,169.250865,0.05080515,0.04580515,2021,15.666666666666666
XLMUSDT,2021-03-30 08:00:00.012,2021-04-18 08:00:00.004,57,455.9999977777778,167.22076983766038,0.09762371000000002,0.09262371000000001,2021,18.99999990740741
XLMUSDT,2021-05-06 08:00:00.001,2021-05-11 00:00:00.000,14,111.99999972222223,170.3458768295748,0.01051192,0.005511919999999999,2021,4.666666655092593
XLMUSDT,2021-09-06 00:00:00.003,2021-09-07 16:00:00.001,5,39.99999944444444,116.23972500000002,0.0027414799999999997,-0.0022585200000000004,2021,1.6666666435185185
XRPUSDT,2020-01-15 16:00:00.000,2020-01-16 08:00:00.000,2,16.0,197.30476499999997,0.00119311,-0.0038068900000000003,2020,0.6666666666666666
XRPUSDT,2020-01-29 16:00:00.002,2020-02-01 00:00:00.000,7,55.99999944444444,141.85396500000002,0.006640159999999999,0.001640159999999999,2020,2.333333310185185
XRPUSDT,2020-02-06 16:00:00.000,2020-02-16 00:00:00.000,28,224.0,141.54189,0.03640095,0.031400950000000004,2020,9.333333333333334
XRPUSDT,2020-07-31 00:00:00.000,2020-08-01 16:00:00.001,5,40.00000027777777,122.46808499999999,0.0029763699999999995,-0.0020236300000000007,2020,1.6666666782407404
XRPUSDT,2020-08-15 00:00:00.000,2020-08-19 08:00:00.000,13,104.0,119.69116500000001,0.01209916,0.007099159999999999,2020,4.333333333333333
XRPUSDT,2020-09-02 08:00:00.006,2020-09-02 16:00:00.000,1,7.999998333333333,112.36123500000002,0.0001,-0.0049,2020,0.3333332638888889
XRPUSDT,2020-11-23 16:00:00.003,2020-11-24 00:00:00.000,1,7.999999166666666,159.790065,0.0001,-0.0049,2020,0.3333332986111111
XRPUSDT,2021-01-04 00:00:00.000,2021-01-05 16:00:00.003,5,40.00000083333333,353.6280845575059,0.00495036,-4.96400000000001e-05,2021,1.6666667013888887
XRPUSDT,2021-01-07 00:00:00.007,2021-01-11 08:00:00.012,13,104.00000138888889,109.23501,0.018072509999999996,0.013072509999999996,2021,4.333333391203704
XRPUSDT,2021-01-14 00:00:00.000,2021-01-14 08:00:00.012,1,8.000003333333334,105.53173099288864,0.0001,-0.0049,2021,0.33333347222222226
XRPUSDT,2021-01-19 08:00:00.005,2021-01-22 00:00:00.012,8,64.00000194444445,257.448735,0.005910920000000001,0.0009109200000000008,2021,2.6666667476851855
XRPUSDT,2021-01-31 08:00:00.000,2021-02-15 08:00:00.006,45,360.00000166666666,131.25550101734407,0.07261134999999999,0.06761134999999999,2021,15.000000069444445
XRPUSDT,2021-02-18 08:00:00.000,2021-02-22 16:00:00.000,13,104.0,267.2896113706714,0.0215785,0.0165785,2021,4.333333333333333
XRPUSDT,2021-03-10 00:00:00.009,2021-03-25 00:00:00.000,45,359.9999975,163.883175,0.03149250000000001,0.026492500000000006,2021,14.999999895833334
XRPUSDT,2021-03-30 16:00:00.001,2021-04-18 08:00:00.004,56,448.00000083333333,153.77638373403545,0.08780984999999998,0.08280984999999998,2021,18.666666701388888
XRPUSDT,2021-05-06 08:00:00.001,2021-05-11 00:00:00.000,14,111.99999972222223,156.8029158890914,0.014271730000000002,0.009271730000000002,2021,4.666666655092593
XTZUSDT,2020-02-07 08:00:00.000,2020-02-08 08:00:00.000,3,24.0,174.64374,0.00216873,-0.0028312700000000003,2020,1.0
XTZUSDT,2020-02-12 16:00:00.000,2020-02-16 08:00:00.000,11,88.0,292.76687516551647,0.01813761,0.013137609999999997,2020,3.6666666666666665
