source,symbol,event,h,n,mean_bp,t,uncond_bp,hot_bp,hot_t,hot_n,calm_bp,calm_t,calm_n
crypto,flow_ATOMUSDT,assault_dn,2,786,-0.5894802316660633,-0.9895522424038352,-0.11459661099806959,0.6838010586388789,0.30687533444368953,137,-0.858262260590219,-1.5669142519971726,649
crypto,flow_ATOMUSDT,assault_dn,5,754,-0.9651683735373314,-1.1895514842732902,-0.17897248594570006,0.14021553727895028,0.04960431605170492,135,-1.2062456400319972,-1.5589420036967951,619
crypto,flow_ATOMUSDT,assault_dn,15,672,-1.3426632792318176,-1.0167785859360983,-0.3798550153073807,1.4835604376255513,0.35223427781196764,115,-1.9261744595524597,-1.4419709990008982,557
crypto,flow_ATOMUSDT,assault_dn,60,466,-0.5521890437658664,-0.17978357494224176,-1.2363878322142083,1.8103096222432817,0.1692499737047438,73,-0.9910246738388122,-0.3238824163017885,393
crypto,flow_ATOMUSDT,eaten_up,1,3,4.0753481116280925,0.4465221293152816,0.09279050265448845,,,1,,,2
crypto,flow_ATOMUSDT,eaten_up,2,3,6.196797945862513,0.47107358094782226,0.11459661099806959,,,1,,,2
crypto,flow_ATOMUSDT,eaten_up,5,3,-8.836904668947376,-0.6862405556049406,0.17897248594570006,,,1,,,2
crypto,flow_ATOMUSDT,eaten_up,15,3,-6.860833503385954,-0.521793388657014,0.3798550153073807,,,1,,,2
crypto,flow_ATOMUSDT,eaten_up,60,3,85.09314810082769,0.78747741164847,1.2363878322142083,,,1,,,2
crypto,flow_ATOMUSDT,pulled_up,1,90,1.8657037708845008,0.9687304905186762,0.09279050265448845,5.8014759782851915,1.8685174182440913,27,0.1789442534270617,0.07481454961129841,63
crypto,flow_ATOMUSDT,pulled_up,2,83,1.09771242075501,0.46855876895137566,0.11459661099806959,10.12491705373708,2.8632485826303515,22,-2.1580007255663927,-0.7648266019728751,61
crypto,flow_ATOMUSDT,pulled_up,5,72,-0.6742951956585171,-0.19425439113583945,0.17897248594570006,9.892805102354709,1.2874414152638907,18,-4.196661961662928,-1.1108474071221575,54
crypto,flow_ATOMUSDT,pulled_up,15,65,-5.1160985148241975,-0.8632098082028626,0.3798550153073807,2.2620908222355434,0.14699157968349855,14,-7.1414838230366735,-1.1288610920263142,51
crypto,flow_ATOMUSDT,pulled_up,60,50,-3.625754806927041,-0.3299212472552527,1.2363878322142083,-21.417640716358587,-0.7949170079632744,11,1.3924694239382707,0.11653908279628665,39
crypto,flow_ATOMUSDT,eaten_dn,1,1,,,-0.09279050265448845,,,0,,,1
crypto,flow_ATOMUSDT,eaten_dn,2,1,,,-0.11459661099806959,,,0,,,1
crypto,flow_ATOMUSDT,eaten_dn,5,1,,,-0.17897248594570006,,,0,,,1
crypto,flow_ATOMUSDT,eaten_dn,15,1,,,-0.3798550153073807,,,0,,,1
crypto,flow_ATOMUSDT,eaten_dn,60,1,,,-1.2363878322142083,,,0,,,1
crypto,flow_ATOMUSDT,pulled_dn,1,139,-1.1716464406805325,-0.7853133195612712,-0.09279050265448845,-2.5792876245985155,-0.7801171840572163,39,-0.6226663789525191,-0.38137981108128405,100
