strategy,symbol,level_step_frac,touch_threshold,train_total_return_%,train_buy_hold_%,train_sharpe,train_max_drawdown_%,train_trades,train_win_rate_%,test_total_return_%,test_buy_hold_%,test_sharpe,test_max_drawdown_%,test_trades,test_win_rate_%,rsi_period,pivot_order,max_pivot_gap,window,entry_z,exit_z,min_corr
correlation,btc.v,,,48.184625004475336,754.9764529929395,0.4403473625270663,-41.630135792284975,55,38.18181818181819,-23.730944712563996,15.517794081321235,-0.9268174422879105,-38.50211425429426,12,16.666666666666664,,,,30.0,1.5,0.5,0.5
correlation,btc.v,,,42.26077148637768,754.9764529929395,0.42897947321192814,-39.96546931031403,53,43.39622641509434,-17.15237547525852,15.517794081321235,-0.5804374992265343,-36.338982273298015,16,31.25,,,,20.0,1.5,0.5,0.7
correlation,btc.v,,,28.25007197344471,754.9764529929395,0.40924464153835055,-25.31325429491511,16,50.0,8.685330404561675,15.517794081321235,0.4229631917379005,-19.37666501760893,6,50.0,,,,20.0,2.5,0.0,0.5
correlation,btc.v,,,34.46581258437962,754.9764529929395,0.4030651629833072,-40.152293635849034,35,40.0,-4.529737956526447,15.517794081321235,-0.1276615894552705,-20.319424875660207,10,40.0,,,,20.0,2.0,0.5,0.5
correlation,btc.v,,,22.4032001371121,754.9764529929395,0.39236972430664036,-16.539355314052106,14,64.28571428571429,12.326645235695866,15.517794081321235,0.6461838325512571,-10.077181425910576,5,60.0,,,,20.0,2.5,1.0,0.7
correlation,btc.v,,,33.984158694465336,754.9764529929395,0.38724030356579064,-45.80687838906194,33,30.303030303030305,-8.09427111046489,15.517794081321235,-0.2825259751852845,-26.216749945527962,7,14.285714285714285,,,,30.0,2.0,0.0,0.7
correlation,btc.v,,,25.89163372115233,754.9764529929395,0.38201943320846676,-28.059141998928794,14,35.714285714285715,-16.587024760401746,15.517794081321235,-1.2233582752168124,-22.608842123057205,4,0.0,,,,30.0,2.5,0.0,0.7
correlation,btc.v,,,24.594073208385513,754.9764529929395,0.3659779756296584,-28.059141998928794,15,33.33333333333333,-16.587024760401746,15.517794081321235,-1.2233582752168124,-22.608842123057205,4,0.0,,,,30.0,2.5,0.0,0.5
correlation,btc.v,,,30.4887219154772,754.9764529929395,0.36279012736400396,-47.22069202414267,34,29.411764705882355,-8.09427111046489,15.517794081321235,-0.2825259751852845,-26.216749945527962,7,14.285714285714285,,,,30.0,2.0,0.0,0.5
correlation,btc.v,,,31.215888935901525,754.9764529929395,0.3499679960310844,-51.82796639578701,60,40.0,-19.179920146840523,15.517794081321235,-0.5842560056011477,-40.39920039567414,17,35.294117647058826,,,,20.0,1.5,0.0,0.5
correlation,btc.v,,,19.560622123478378,754.9764529929395,0.34575904957603837,-20.870883485640324,16,62.5,12.199214328170394,15.517794081321235,0.6094611287156836,-12.130249027781915,6,66.66666666666666,,,,20.0,2.5,1.0,0.5
correlation,btc.v,,,20.541471596470593,754.9764529929395,0.3154684927324701,-23.95199497222248,31,41.935483870967744,0.7918757576578894,15.517794081321235,0.09173850652230901,-13.957764362549119,9,44.44444444444444,,,,20.0,2.0,1.0,0.7
round_numbers,btc.v,0.05,0.01,23.281057088301505,754.9764529929395,0.3134368748605774,-60.21510044228064,264,42.803030303030305,6.381576711183046,15.517794081321235,0.25680680150435153,-43.86729342656314,53,45.28301886792453,,,,,,,
correlation,btc.v,,,21.307289211820258,754.9764529929395,0.2981983126942966,-43.63111506049853,34,29.411764705882355,-4.345181401744669,15.517794081321235,-0.12643456834830047,-22.75422516239789,7,28.57142857142857,,,,30.0,2.0,0.5,0.7
